OP日,店番,店名,,時給,,,店舗住所,チラシの有無,面接日①,7週前〆(営企へ),面接担当者,面接会場１回目,郵便番号,面接会場住所,ＴＥＬ,面接日②,7週前〆(営企へ),面接担当者,面接会場2回目,郵便番号,面接会場住所,ＴＥＬ,S&Bアンケート,S&B集計表労務提出,HW面接会,時間,
2021/3/25,525,大足,おおあし,940,930,1,愛知県知多郡武豊町下田18,,2021/1/23,2020/12/5,,武豊町地域交流センター会議室,470-2512,愛知県知多郡武豊町字忠白田11-1,0569-73-6001,2021/2/21,2021/1/3,,web面接実施,,,,,,,,
2021/4/8,526,学園台,がくえんだい,845,835,1,石川県かほく市学園台,,2021/2/14,2020/12/27,,かほく市高松産業文化センター 203・204研修室,929-1210,石川県かほく市高松ク42-1,076-281-3176,2021/3/14,2021/1/24,,かほく市高松産業文化センター 203・204研修室,929-1292,石川県かほく市高松ク42-1,076-281-3176,,,,,
2021/4/8,527,田鶴浜,たつるはま,850,840,MB,石川県七尾市舟尾町,,2021/2/6,2020/12/19,,田鶴浜地区コミュニティセンター「サンビーム日和が丘」研修室２,929-2104,石川県七尾市垣吉町へ部２４,0767-68-3336,2021/3/13,2021/1/23,,田鶴浜地区コミュニティセンター「サンビーム日和が丘」研修室１,929-2104,石川県七尾市垣吉町へ部２４,0767-68-3336,,,,,
2021/4/15,528,若草町南,わかくさちょうみなみ,940,930,1,愛知県大府市若草町,,2021/2/20,2021/1/2,,愛三文化会館（大府市勤労文化会館） 会議室A,474-0056,愛知県大府市明成町1-330,0562-48-6151,,-49,,web面接予定,,,,,,,,
2021/4/15,529,豊川一宮大池,とよかわいちのみや大池,940,930,1,愛知県豊川市一宮町,,2021/2/6,2020/12/19,,豊川商工会議所 第２会議室,442-8540,愛知県豊川市豊川町辺通4-4,0533-86-4101,2021/3/21,2021/1/31,,web面接予定,,,,,,,,
2021/4/22,530,上志比,かみしひ,840,830,1,福井県吉田郡永平寺町,,2021/2/27,2021/1/9,,上志比文化会館 第一会議室,910-1313,福井県吉田郡永平寺町石上第29号67番地1,0776-64-3170,2021/3/27,2021/2/6,,上志比文化会館 第一会議室,910-1313,福井県吉田郡永平寺町石上第29号67番地1,0776-64-3170,,,,,
2021/4/22,531,榎戸,えのきど,940,930,1,愛知県常滑市榎戸町,,2021/2/14,2020/12/27,,常滑市民文化会館 第３練習室,479-0837,常滑市新開町5-65,0569-35-3111,2021/3/28,2021/2/7,,web面接予定？,,,,,,,,
2021/4/29,532,朝日,あさひ,840,830,1,福井県丹生郡越前町,,2021/3/6,2021/1/16,,会場名は非公開(織田コミュニティセンター・中会議室),916-0222,福井県丹生郡越前町大王丸,,2021/4/3,2021/2/13,,サンライズ織田,916-0215,福井県丹生郡越前町織田36-1,0778-36-1111,,,,,
2021/4/29,533,長森,ながもり,865,855,1,岐阜県岐阜市北一色,,2021/3/7,2021/1/17,,岐阜市文化センター 第２会議室,500-8842,岐阜県岐阜市金町5-7-2,058-262-6200,2021/4/4,2021/2/14,,web面接予定,,,,,,,,
2021/4/29,534,小屋名,おやな,865,855,1,岐阜県関市小屋名,,2021/3/6,2021/1/16,,中央公民館 3-2研修室,501-3802,岐阜県関市若草通２丁目１,0575-23-7776,2021/4/4,2021/2/14,,web面接予定,,,,,,,,
2021/5/7,535,あわら市姫,あわらいちひめ,840,830,1,福井県あわら市市姫,,2021/3/13,2021/1/23,,あわら市文化会館 第3会議室,910-4105,福井県あわら市舟津7-65,0776-77-3331,2021/4/10,2021/2/20,,あわら市文化会館 第3会議室,910-4105,福井県あわら市舟津7-65,0776-77-3331,,,,,
2021/5/13,536,白帆台,しらほだい,845,835,1,石川県河北郡内灘町,,2021/3/14,2021/1/24,,内灘町文化会館 会議室1,920-0267,石川県河北郡内灘町字大清台140番地,076-286-1123,2021/4/17,2021/2/27,,内灘町文化会館 会議室1,920-0267,石川県河北郡内灘町字大清台140番地,076-286-1123,,,,,
2021/5/13,537,岩倉大地,いわくらだいち,940,930,1,愛知県岩倉市大地町野合22,,2021/3/21,2021/1/31,,岩倉市民プラザ 会議室１,482-0011,愛知県岩倉市昭和町２-１７,0587-37-0257,,-49,,web面接予定　IM,,,,,,,,
2021/5/13,538,岩滑,やなべ,940,930,1,愛知県半田市岩滑中町,,2021/3/21,2021/1/31,,半田市福祉文化会館（雁宿ホール） 福祉センター 第3会議室,475-0918,愛知県半田市雁宿町1-22-1,0569-23-7331,,-49,,web面接予定,,,,,,,,
2021/5/20,539,綾戸,あやど,865,855,1,岐阜県不破郡垂井町,,2021/3/27,2021/2/6,,垂井町文化会館 練習室1.2,503-2124,岐阜県不破郡垂井町宮代2957-2,0584-23-1010,,-49,,web面接予定　IM,,,,,,,,
2021/5/20,540,石浜,いしはま,940,930,1,愛知県知多郡東浦町,,2021/3/20,2021/1/30,,勤労福祉会館 会議室2,470-2103,愛知県知多郡東浦町大字石浜字岐路28-2,0562-83-6118,,-49,,web面接予定　IM,,,,,,,,
2021/5/20,541,武豊西門,たけとよにしもん,940,930,1,愛知県知多市武豊町,無,2021/3/27,2021/2/6,,砂川会館,470-2317,愛知県知多市武豊町砂川3丁目16番地,0569-72-1111,2021/4/25,2021/3/7,,web面接予定　IM,,,,,,,,
